ТБ;ГОСБ;Задач;Закрыто;Успешно;В работе;Сотрудников;Клиентов;Закрыто, %;Успех от закрытых, %;Медиана отработки, дн.;Просрочено, %;В день постановки, %;В днях зачистки, %;В сериях, %;Без следа, %;Формальный комментарий, %;Клон комментария, %;Успехи без результата, %;Факт к плану, %;Клиент отработан полностью, %;Клиентов одним днём;Немых дней, %;Индекс результата;Индекс дисциплины;Индекс риска;Сотрудников под триггерами
Юго-Западный банк;Калмыцкое ГОСБ № 8579;130;78;25;52;5;84;60,0;32,1;8,097719907407408;14,6;3,8;11,5;7,7;34,6;21,8;52,6;20,0;76,2;48,8;0;19,0;72,92;79,7;29,58;2
Юго-Западный банк;Адыгейское ГОСБ № 8620;130;80;36;50;4;100;61,5;45,0;7,494774305555556;16,9;0,0;0,0;0,0;3,8;17,5;12,5;13,9;64,2;54,0;1;8,3;84,2;84,325;10,15;0
Юго-Западный банк;Ростовское ГОСБ № 5221;130;70;39;60;6;95;53,8;55,7;8,462980324074074;20,0;4,3;14,3;11,4;18,6;24,3;12,9;51,3;45,7;46,3;1;19,8;73,167;78,117;27,533;3
Юго-Западный банк;ГО по Донецкой Народной Республике;130;79;33;51;6;95;60,8;41,8;6,665983796296296;11,5;29,1;0,0;0,0;22,8;27,8;21,5;21,2;55,6;51,6;0;23,8;77,65;81,667;13,783;2
Северо-Западный банк;Калининградское ГОСБ № 8626;127;64;15;63;6;74;50,4;23,4;6,3108101851851846;13,4;31,2;0,0;0,0;35,9;50,0;35,9;46,7;27,0;35,1;0;22,2;53,05;79,383;19,25;2
Северо-Западный банк;ГО по Ленинградской области;125;70;36;55;5;102;56,0;51,4;7,728119212962963;12,0;0,0;0,0;0,0;8,6;10,0;15,7;55,6;32,9;49,0;0;11,4;62,86;85,66;18,74;2
Байкальский банк;Братское отделение;121;74;19;47;6;79;61,2;25,7;8,051545138888889;18,2;8,1;27,0;24,3;35,1;47,3;27,0;36,8;28,6;46,8;4;24,6;61,817;75,033;22,917;2
Сибирский банк;Норильское отделение;120;68;21;52;6;84;56,7;30,9;7,665978009259259;14,2;17,6;8,8;0,0;32,4;52,9;32,4;38,1;75,7;42,9;0;30,2;75,717;75,8;21,0;3
Юго-Западный банк;Краснодарское ГОСБ № 8619;119;67;22;52;5;90;56,3;32,8;7,7651967592592595;15,1;1,5;20,9;19,4;28,4;35,8;26,9;27,3;53,2;50,0;0;21,0;71,18;79,28;22,88;1
Северо-Западный банк;Мурманское ГОСБ № 8627;116;59;17;57;4;78;50,9;28,8;7,515462962962963;17,2;1,7;10,2;0,0;30,5;33,9;54,2;5,9;77,4;42,3;1;32,1;66,25;73,625;20,775;3
Северо-Западный банк;Коми ГОСБ № 8617;114;61;33;53;5;87;53,5;54,1;8,791122685185185;14,0;0,0;0,0;0,0;9,8;32,8;24,6;27,3;71,3;46,0;0;21,0;82,62;79,94;14,06;0
Дальневосточный банк;Благовещенское ГОСБ № 8636;114;59;18;55;4;93;51,8;30,5;7,512534722222222;16,7;0,0;0,0;0,0;8,5;22,0;0,0;16,7;83,5;43,0;0;11,9;64,35;80,55;9,15;0
Центрально-Черноземный банк;Курское ГОСБ № 8596;113;54;13;59;4;84;47,8;24,1;7,961799768518519;12,4;0,0;0,0;0,0;35,2;42,6;22,2;23,1;43,6;44,0;1;15,5;47,925;79,6;11,575;1
Среднерусский банк;Ивановское ГОСБ № 8639;112;82;20;30;5;83;73,2;24,4;0,720925925925926;11,6;52,4;25,6;24,4;65,9;69,5;63,4;45,0;39,1;65,1;1;43,8;52,58;68,32;44,5;5
Центрально-Черноземный банк;Орловское ГОСБ № 8595;112;63;26;49;5;80;56,2;41,3;9,554143518518519;16,1;0,0;0,0;0,0;31,7;19,0;33,3;42,3;40,4;47,5;0;15,2;66,86;80,96;17,18;2
Среднерусский банк;Рязанское ГОСБ № 8606;111;63;22;48;5;87;56,8;34,9;0,6870138888888889;16,2;50,8;9,5;0,0;52,4;34,9;58,7;36,4;100,0;52,9;0;46,7;59,86;72,64;22,06;3
Северо-Западный банк;Вологодское ГОСБ № 8638;110;81;25;29;5;82;73,6;30,9;7,378159722222223;10,0;43,2;27,2;21,0;45,7;49,4;51,9;44,0;40,7;64,6;4;41,9;73,24;72,04;37,48;4
Байкальский банк;Читинское ГОСБ№ 8600;109;56;21;53;5;80;51,4;37,5;8,342505787037037;18,3;1,8;14,3;0,0;14,3;17,9;0,0;9,5;83,0;40,0;1;27,6;74,76;78,58;7,98;1
Северо-Западный банк;Новгородское ГОСБ № 8629;107;61;24;46;5;83;57,0;39,3;9,5315625;17,8;1,6;27,9;23,0;34,4;32,8;14,8;41,7;35,8;47,0;4;32,4;71,86;75,02;29,22;2
Волго-Вятский банк;Кировское ГОСБ № 8612;106;68;25;38;4;76;64,2;36,8;10,383125;20,8;1,5;26,5;23,5;26,5;29,4;16,2;20,0;59,4;53,9;3;28,6;77,55;75,725;26,5;1
Байкальский банк;Иркутское ГОСБ № 8586;106;79;27;27;5;81;74,5;34,2;5,306203703703703;12,3;27,8;22,8;22,8;46,8;34,2;57,0;25,9;35,9;70,4;2;34,3;72,66;75,86;36,56;3
Байкальский банк;Якутское ГОСБ № 8603;106;70;25;36;5;80;66,0;35,7;7,003674768518518;8,5;10,0;0,0;0,0;21,4;31,4;32,9;4,0;74,7;60,0;0;22,9;68,92;80,68;13,64;2
Волго-Вятский банк;Чувашское ГОСБ № 8613;100;43;15;57;6;77;43,0;34,9;8,783067129629629;16,0;2,3;0,0;0,0;14,0;16,3;18,6;6,7;69,7;37,7;0;33,3;63,233;77,1;6,3;2
Среднерусский банк;Калужское ГОСБ № 8608;99;39;12;60;5;88;39,4;30,8;11,666006944444444;26,3;5,1;51,3;0,0;35,9;12,8;0,0;8,3;99,2;39,8;0;41,9;75,4;70,62;14,66;2
Юго-Западный банк;Дагестанское ГОСБ № 8590;97;69;33;28;4;72;71,1;47,8;9,509722222222223;17,5;23,2;31,9;30,4;52,2;36,2;30,4;39,4;41,3;61,1;5;34,5;81,7;72,825;42,35;2
Поволжский банк;Астраханское ГОСБ № 8625;97;52;22;45;5;70;53,6;42,3;9,389236111111112;14,4;0,0;0,0;0,0;11,5;15,4;0,0;36,4;50,5;41,4;0;30,5;61,58;79,9;12,46;2
Юго-Западный банк;Аппарат ЮЗБ;97;55;17;42;5;77;56,7;30,9;1,5589699074074075;19,6;45,5;12,7;0,0;50,9;63,6;56,4;64,7;81,8;48,1;1;46,7;54,66;67,2;24,04;4
Среднерусский банк;Брянское ГОСБ № 8605;95;66;25;29;4;71;69,5;37,9;8,039039351851851;20,0;27,3;53,0;31,8;42,4;45,5;40,9;64,0;5,3;66,2;4;50,0;52,95;69,775;43,625;3
Юго-Западный банк;Чеченское ГОСБ № 8643;95;59;23;36;4;67;62,1;39,0;3,753900462962963;10,5;33,9;0,0;0,0;22,0;37,3;11,9;26,1;52,2;52,2;0;16,7;72,375;81,875;15,4;1
Поволжский банк;Аппарат ПВБ;94;71;38;23;4;64;75,5;53,5;10,389583333333333;10,6;12,7;63,4;57,7;62,0;54,9;43,7;52,6;27,7;67,2;5;38,1;79,7;72,275;51,975;2
Уральский банк;Аппарат УБ;94;57;24;37;4;77;60,6;42,1;7,620405092592593;13,8;0,0;0,0;0,0;8,8;7,0;10,5;29,2;69,8;51,9;0;11,9;84,025;86,35;16,65;0
Поволжский банк;Автозаводское ГО;92;39;15;53;4;67;42,4;38,5;7,521388888888889;22,8;0,0;0,0;0,0;10,3;12,8;10,3;53,3;20,8;37,3;0;16,7;61,775;81,825;14,05;1
Дальневосточный банк;Аппарат ДВБ;91;55;14;36;5;74;60,4;25,5;6,389861111111111;16,5;10,9;30,9;23,6;47,3;45,5;20,0;57,1;72,6;54,1;0;41,0;53,44;69,62;41,46;4
Среднерусский банк;Восточное ГО;86;44;11;42;5;72;51,2;25,0;7,049427083333333;8,1;22,7;0,0;0,0;38,6;20,5;34,1;27,3;55,3;50,0;0;30,5;63,06;77,62;14,76;2
Юго-Западный банк;ГО по Республике Крым;86;68;28;18;5;66;79,1;41,2;0,5450289351851851;7,0;69,1;0,0;8,8;57,4;58,8;38,2;57,1;13,3;74,2;0;39,0;69,72;72,06;38,5;3
Уральский банк;Башкирское ГОСБ № 8598;85;52;12;33;5;68;61,2;23,1;7,529814814814815;11,8;5,8;17,3;17,3;34,6;48,1;34,6;33,3;78,6;57,4;0;30,5;70,9;76,14;25,34;2
Дальневосточный банк;Камчатское ГОСБ № 8556;84;47;14;37;4;73;56,0;29,8;7,470821759259259;17,9;19,1;0,0;12,8;48,9;48,9;36,2;42,9;33,6;53,4;0;34,5;60,525;73,45;27,375;2
Среднерусский банк;Тверское ГОСБ № 8607;83;46;11;37;4;69;55,4;23,9;10,71324074074074;22,9;0,0;0,0;0,0;4,3;17,4;0,0;9,1;66,9;52,2;0;21,4;70,55;78,75;6,0;0
Дальневосточный банк;Северо-Восточное ГОСБ № 8645;82;38;10;44;3;71;46,3;26,3;6,981331018518518;23,2;2,6;21,1;0,0;18,4;13,2;7,9;30,0;88,5;42,3;0;34,9;58,3;75,133;16,967;2
Дальневосточный банк;Южно-Сахалинское ГОСБ № 8567;82;50;23;32;5;65;61,0;46,0;8,802256944444444;17,1;10,0;12,0;10,0;28,0;22,0;8,0;39,1;82,5;52,3;0;48,6;61,1;71,96;25,16;3
Северо-Западный банк;Карельское ГОСБ № 8628;81;49;17;32;3;58;60,5;34,7;9,310590277777777;19,8;12,2;16,3;16,3;36,7;20,4;18,4;29,4;73,4;50,0;0;30,2;76,967;76,867;39,833;2
Уральский банк;Ханты-Мансийское ГОСБ № 1791;79;66;16;13;3;61;83,5;24,2;9,38613425925926;17,7;13,6;59,1;59,1;57,6;48,5;50,0;50,0;23,8;78,7;6;33,3;68,267;70,167;66,433;2
Центрально-Черноземный банк;Тамбовское ГОСБ № 8594;78;54;19;24;4;61;69,2;35,2;0,7759201388888889;5,1;48,1;9,3;0,0;44,4;29,6;48,1;31,6;49,3;65,6;1;33,3;79,475;79,6;30,1;4
Уральский банк;Югорское ГОСБ № 5940;78;40;26;38;3;67;51,3;65,0;9,434780092592593;17,9;0,0;0,0;0,0;10,0;10,0;15,0;53,8;24,8;49,3;0;14,3;64,333;82,367;13,433;1
Центрально-Черноземный банк;Липецкое ГОСБ № 8593;78;36;22;42;4;59;46,2;61,1;10,018564814814814;14,1;0,0;0,0;0,0;16,7;8,3;0,0;54,5;35,4;35,6;0;22,6;62,35;81,575;9,4;1
Волго-Вятский банк;Владимирское ГОСБ № 8611;78;51;22;27;4;59;65,4;43,1;5,397476851851851;14,1;39,2;0,0;0,0;39,2;29,4;23,5;45,5;44,4;59,3;0;29,8;72,775;78,175;21,775;2
Поволжский банк;Пензенское ГОСБ № 8624;76;35;15;41;4;61;46,1;42,9;7,712199074074074;21,1;0,0;31,4;0,0;34,3;31,4;17,1;60,0;27,4;41,0;0;33,3;63,625;72,525;18,6;2
Волго-Вятский банк;Аппарат ВВБ;73;37;9;36;3;65;50,7;24,3;7,6382060185185185;15,1;0,0;0,0;0,0;13,5;24,3;27,0;11,1;80,5;46,2;1;14,3;74,467;80,433;9,833;0
Волго-Вятский банк;ГОСБ Марий Эл № 8614;70;46;13;24;3;58;65,7;28,3;7,621128472222223;15,7;6,5;30,4;30,4;47,8;43,5;30,4;38,5;58,4;60,3;1;20,6;58,467;75,733;35,533;2
Юго-Западный банк;Карачаево-Черкесское ГОСБ № 8585;66;53;18;13;3;41;80,3;34,0;11,396180555555556;19,7;9,4;69,8;60,4;64,2;69,8;66,0;61,1;33,0;68,3;8;52,4;70,4;66,133;61,767;2
Байкальский банк;Бурятское ГОСБ № 8601;66;45;15;21;3;52;68,2;33,3;10,697581018518518;7,6;2,2;53,3;42,2;40,0;42,2;42,2;53,3;48,0;59,6;4;34,9;75,767;76,767;35,733;1
Дальневосточный банк;Чукотское ГО (на правах отдела);65;29;11;36;3;58;44,6;37,9;9,310081018518519;26,2;0,0;24,1;0,0;17,2;3,4;27,6;18,2;80,5;39,7;0;34,9;70,9;74,267;14,7;1
Юго-Западный банк;Ставропольское ГОСБ № 5230;65;44;10;21;3;55;67,7;22,7;7,420248842592592;13,8;6,8;34,1;27,3;36,4;38,6;9,1;40,0;81,3;69,1;0;38,1;76,533;77,033;33,8;1
Волго-Вятский банк;Пермское ГОСБ № 6984;65;47;11;18;3;57;72,3;23,4;8,342939814814814;16,9;17,0;29,8;29,8;66,0;59,6;40,4;45,5;26,4;68,4;1;33,3;40,8;68,167;36,967;2
Среднерусский банк;Смоленское ГОСБ № 8609;64;42;18;22;3;43;65,6;42,9;7,586759259259259;17,2;7,1;21,4;16,7;26,2;23,8;16,7;33,3;62,3;53,5;0;31,7;76,333;76,333;37,167;1
Поволжский банк;Оренбургское ГОСБ № 8623;63;42;12;21;3;59;66,7;28,6;1,0711747685185184;11,1;50,0;0,0;0,0;54,8;57,1;38,1;58,3;59,7;64,4;1;19,0;57,867;77,267;30,0;2
Поволжский банк;Самарское ГОСБ № 6991;61;28;13;33;3;53;45,9;46,4;11,510509259259258;18,0;0,0;0,0;0,0;17,9;21,4;0,0;23,1;67,3;41,5;0;15,9;77,533;82,5;10,067;0
Северо-Западный банк;Аппарат СЗБ;61;34;8;27;3;57;55,7;23,5;9,09228587962963;23,0;0,0;0,0;0,0;23,5;73,5;58,8;0,0;65,5;54,4;0;9,5;75,967;72,7;11,033;1
Уральский банк;Ямало-Ненецкое ГОСБ № 8369;54;26;6;28;3;48;48,1;23,1;10,110850694444444;9,3;0,0;0,0;0,0;15,4;34,6;11,5;16,7;81,9;47,9;1;39,7;56,667;76,167;8,767;1
